,gene_id,chr,start,end,padj_OW_4DPA,padj_CW_4DPA,padj_C2W_4DPA,padj_OW_8DPA,padj_CW_8DPA,padj_C2W_8DPA
50,TraesCS5A02G011200,chr5A,7362413,7366565,1.45E-07,7.93E-08,2.74E-08,4.98E-10,2.51E-09,6.01E-10
51,TraesCS5A02G012500,chr5A,8233156,8239545,0.00098239,7.31E-05,0.000686308,NA,NA,NA
52,TraesCS5A02G012600,chr5A,8240521,8246498,7.04E-10,2.81E-10,5.50E-09,6.81E-05,2.90E-05,0.000120781
53,TraesCS5A02G013400,chr5A,9323259,9326697,5.61E-11,2.45E-11,6.10E-12,5.05E-07,3.33E-07,6.25E-08
54,TraesCS5A02G014200,chr5A,9610327,9616948,0.001278934,0.007332027,0.003203273,8.46E-09,3.19E-08,2.48E-09
55,TraesCS5A02G014300,chr5A,9650482,9654885,2.26E-20,1.33E-19,1.52E-18,2.13E-20,2.14E-19,2.32E-20
56,TraesCS5A02G014400,chr5A,9655139,9659910,1.38E-90,2.74E-90,1.25E-80,2.49E-137,9.63E-126,1.21E-113
57,TraesCS5A02G014500,chr5A,9830494,9835474,1.66E-91,5.78E-94,6.10E-97,9.80E-114,3.60E-114,1.41E-104
58,TraesCS5A02G014600,chr5A,9840483,9854956,5.95E-17,1.32E-17,1.64E-15,1.85E-24,4.08E-18,5.99E-19
59,TraesCS5A02G014900,chr5A,10476109,10479944,2.17E-08,9.68E-08,2.32E-07,2.56E-08,1.10E-08,6.09E-08
60,TraesCS5A02G015000,chr5A,10480096,10481267,2.16E-76,9.21E-78,4.09E-74,2.88E-68,1.49E-72,1.42E-64
61,TraesCS5A02G015100,chr5A,10541023,10546228,7.23E-17,1.12E-16,1.50E-16,4.24E-09,3.67E-10,4.39E-09
62,TraesCS5A02G015500,chr5A,11028484,11029549,2.42E-07,1.82E-07,9.75E-09,0.004703832,2.17E-05,0.001567986
63,TraesCS5A02G015600,chr5A,11054292,11069752,1.97E-17,1.25E-18,4.71E-18,5.46E-13,1.29E-11,2.75E-12
64,TraesCS5A02G015900,chr5A,11515593,11518545,1.43E-46,2.51E-45,9.60E-46,1.89E-23,2.70E-23,1.62E-27
65,TraesCS5A02G016000,chr5A,11519163,11521484,1.69E-07,3.85E-08,1.45E-07,1.74E-09,2.03E-09,4.37E-10
66,TraesCS5A02G016200,chr5A,11935532,11943143,0.000790634,0.001287411,0.000310082,0.003136279,0.001196973,0.000286153
67,TraesCS5A02G016300,chr5A,11965275,11969514,5.89E-15,3.70E-12,2.24E-11,3.15E-09,3.24E-09,4.46E-09
68,TraesCS5A02G017400,chr5A,13408975,13413225,1.13E-10,1.24E-10,6.38E-11,1.85E-10,7.38E-10,9.44E-11
69,TraesCS5A02G018000,chr5A,14227124,14228178,2.34E-12,2.01E-07,0.00103192,NA,NA,NA
70,TraesCS5A02G018800,chr5A,14502732,14503513,0.000439935,0.007974633,0.009538187,9.96E-06,0.00038595,1.23E-05
71,TraesCS5A02G019000,chr5A,14513909,14514451,0.000190545,0.001434632,0.001012308,3.02E-09,5.88E-07,1.12E-08
72,TraesCS5A02G019100,chr5A,14519439,14520256,0.000294733,0.00046455,0.004712731,NA,NA,NA
73,TraesCS5A02G019200,chr5A,14844320,14847022,1.65E-09,4.59E-09,9.65E-09,1.12E-06,1.32E-07,2.47E-07
74,TraesCS5A02G019300,chr5A,14922005,14923523,3.51E-06,1.89E-05,1.96E-05,0.00098192,0.000269857,0.000139736
75,TraesCS5A02G019600,chr5A,15844722,15850922,0.00595867,0.001869823,4.69E-05,0.001196567,1.55E-09,0.000545837
76,TraesCS5A02G019700,chr5A,15864712,15868848,2.71E-06,1.25E-06,2.24E-05,2.09E-06,2.67E-06,1.16E-05
77,TraesCS5A02G019800,chr5A,16413138,16415639,3.38E-06,1.70E-06,1.99E-09,1.10E-06,1.63E-05,1.12E-08
78,TraesCS5A02G020700,chr5A,16974088,16977075,4.43E-08,1.06E-07,3.41E-07,1.22E-08,5.38E-08,5.92E-07
79,TraesCS5A02G020800,chr5A,16980171,16987695,6.34E-08,2.93E-08,8.98E-09,7.64E-07,1.94E-07,1.23E-07
80,TraesCS5A02G020900,chr5A,17221404,17224338,1.00E-07,3.91E-08,4.31E-07,7.72E-05,1.32E-05,2.44E-05
81,TraesCS5A02G022000,chr5A,17824367,17828070,6.26E-13,3.91E-13,1.88E-13,9.07E-13,8.21E-12,4.56E-13
82,TraesCS5A02G022100,chr5A,17830106,17833234,3.81E-09,1.45E-08,1.89E-09,7.46E-11,2.07E-09,6.44E-10
83,TraesCS5A02G022200,chr5A,17835980,17840367,2.89E-38,3.91E-38,5.23E-37,2.15E-75,2.54E-72,6.86E-71
84,TraesCS5A02G022700,chr5A,18637369,18639106,1.30E-08,3.76E-08,1.42E-09,9.33E-08,8.12E-08,9.50E-09
85,TraesCS5A02G022800,chr5A,18661857,18663917,0.000164373,0.000553516,0.001186854,4.88E-05,3.22E-05,0.000240059
86,TraesCS5A02G023100,chr5A,18678751,18681805,0.000206299,0.000184222,0.00033496,8.58E-05,0.000212158,2.79E-05
87,TraesCS5A02G023900,chr5A,18903927,18913673,4.28E-06,4.29E-06,5.08E-07,5.24E-06,6.22E-06,3.49E-07
88,TraesCS5A02G024200,chr5A,18950784,18951541,8.41E-09,3.62E-06,7.11E-08,2.86E-08,1.82E-09,7.48E-09
89,TraesCS5A02G024600,chr5A,19229175,19232950,1.39E-06,1.89E-07,3.79E-06,9.00E-07,2.47E-06,7.62E-06
90,TraesCS5A02G024900,chr5A,19268304,19274020,1.95E-79,3.35E-81,1.37E-74,2.27E-28,5.43E-39,1.19E-28
91,TraesCS5A02G025100,chr5A,19658538,19662736,0.002882801,0.001623209,0.006249895,NA,NA,NA
92,TraesCS5A02G025200,chr5A,19666408,19669164,8.41E-09,6.53E-09,1.12E-08,6.94E-16,1.61E-13,3.03E-14
93,TraesCS5A02G025400,chr5A,19976110,19979972,1.12E-09,5.72E-10,1.40E-08,4.66E-08,2.71E-07,4.41E-07
94,TraesCS5A02G025500,chr5A,19980605,19983487,0.001278934,0.000954752,0.000245689,NA,NA,NA
95,TraesCS5A02G025900,chr5A,20992825,20998791,5.59E-30,9.46E-29,1.48E-29,1.34E-17,2.00E-18,1.14E-18
96,TraesCS5A02G026000,chr5A,21407949,21411719,5.57E-16,4.96E-17,7.29E-18,9.07E-19,1.84E-18,4.33E-18
97,TraesCS5A02G026300,chr5A,21430449,21434626,3.61E-06,5.92E-06,3.23E-11,NA,NA,NA
98,TraesCS5A02G026700,chr5A,22056303,22060124,1.67E-05,8.96E-05,6.39E-05,5.64E-05,0.000238493,0.0002428
99,TraesCS5A02G026900,chr5A,22224287,22228514,0.000345832,0.00256958,0.001994431,NA,NA,NA
100,TraesCS5A02G027000,chr5A,22271939,22279701,5.55E-11,7.62E-11,9.29E-11,1.36E-06,9.55E-07,2.27E-06
101,TraesCS5A02G027100,chr5A,22484921,22486224,0.003604317,0.00801698,0.004966051,NA,NA,NA
102,TraesCS5A02G027200,chr5A,22715166,22719192,0.000769115,0.00012513,0.000303392,1.27E-05,0.000164096,4.60E-05
103,TraesCS5A02G027400,chr5A,22976211,22985551,3.03E-26,6.66E-27,7.58E-27,2.94E-14,4.24E-14,1.84E-14
104,TraesCS5A02G027700,chr5A,23612962,23615525,0.000824773,0.000436509,0.001164821,0.000568197,0.000335292,0.0002428
105,TraesCS5A02G027900,chr5A,23906995,23907834,0.000769115,0.000902757,7.02E-05,NA,NA,NA
106,TraesCS5A02G029600,chr5A,25698618,25704674,6.29E-11,8.47E-11,7.42E-11,8.96E-08,5.03E-08,3.37E-08
107,TraesCS5A02G029800,chr5A,25863466,25866984,1.37E-10,1.62E-10,4.73E-12,6.59E-07,2.02E-07,4.54E-09
108,TraesCS5A02G030000,chr5A,26131321,26134845,5.77E-06,9.06E-06,2.88E-08,2.59E-06,2.87E-05,8.93E-08
109,TraesCS5A02G030300,chr5A,26440090,26449927,2.25E-09,1.09E-09,2.89E-10,1.70E-07,7.18E-08,8.92E-09
110,TraesCS5A02G030400,chr5A,26456414,26462416,1.79E-07,4.43E-08,2.55E-05,0.000671018,8.73E-06,0.000970216
111,TraesCS5A02G030500,chr5A,26466490,26468864,3.20E-11,3.81E-11,1.16E-11,1.35E-09,6.25E-10,1.08E-09
112,TraesCS5A02G030800,chr5A,28103856,28106811,1.72E-11,1.28E-11,7.91E-12,4.51E-09,5.06E-09,2.49E-09
113,TraesCS5A02G030900,chr5A,28228020,28229612,5.41E-13,3.16E-12,3.27E-13,6.40E-14,5.39E-14,7.96E-15
114,TraesCS5A02G031100,chr5A,28670925,28674839,5.84E-05,2.98E-05,0.00033496,NA,NA,NA
115,TraesCS5A02G031200,chr5A,28697204,28700904,1.81E-06,2.07E-06,3.08E-06,1.62E-06,3.88E-05,1.33E-05
116,TraesCS5A02G031500,chr5A,29123464,29126533,0.001583918,0.007993402,0.002973657,NA,NA,NA
117,TraesCS5A02G031800,chr5A,29504653,29507317,0.006797723,0.008162548,0.001087946,NA,NA,NA
118,TraesCS5A02G031900,chr5A,29512544,29516131,2.54E-07,1.10E-06,8.43E-08,3.68E-07,8.46E-09,4.71E-09
119,TraesCS5A02G032000,chr5A,29626492,29628106,1.19E-56,1.04E-52,4.05E-64,5.53E-43,7.26E-48,2.57E-48
120,TraesCS5A02G032300,chr5A,29680227,29682597,2.39E-07,6.61E-08,3.43E-08,0.000125552,3.51E-05,5.69E-05
121,TraesCS5A02G032500,chr5A,29879623,29884709,1.11E-07,1.21E-08,1.28E-08,1.62E-05,4.42E-06,4.92E-06
122,TraesCS5A02G032700,chr5A,29892240,29896434,1.83E-07,1.45E-07,1.59E-07,0.000146492,3.39E-05,8.87E-06
123,TraesCS5A02G033400,chr5A,30407025,30409182,6.75E-07,1.32E-05,2.63E-05,0.000917489,7.82E-05,0.000611012
124,TraesCS5A02G033500,chr5A,30412998,30415194,4.86E-05,0.000539925,3.93E-05,NA,NA,NA
125,TraesCS5A02G033600,chr5A,30415415,30417804,4.38E-08,9.46E-08,1.40E-08,7.17E-09,4.71E-10,9.67E-10
126,TraesCS5A02G033700,chr5A,30419557,30423452,7.11E-08,6.61E-08,5.50E-08,0.005381921,0.00243652,0.001823588
127,TraesCS5A02G034000,chr5A,30709025,30709666,0.000165285,0.00014553,4.50E-05,NA,NA,NA
128,TraesCS5A02G034400,chr5A,31571315,31574540,0.00070039,0.000221674,2.96E-05,6.47E-08,1.73E-06,1.08E-07
129,TraesCS5A02G034600,chr5A,32110114,32111232,0.000447216,0.000877153,0.0019658,6.80E-06,4.60E-05,7.91E-05
130,TraesCS5A02G034700,chr5A,32147054,32148194,7.70E-09,4.71E-09,1.26E-09,0.006028925,0.000106464,0.000655314
131,TraesCS5A02G035000,chr5A,32664025,32669671,5.80E-05,7.16E-05,7.61E-05,NA,NA,NA
132,TraesCS5A02G035100,chr5A,32702327,32704442,1.67E-09,3.04E-10,2.70E-10,1.26E-06,5.97E-07,2.85E-06
133,TraesCS5A02G036200,chr5A,33126001,33130778,1.24E-12,6.76E-12,5.01E-12,2.27E-09,8.21E-12,1.20E-10
134,TraesCS5A02G036600,chr5A,33874094,33880117,2.85E-08,1.13E-08,4.87E-09,0.000416657,6.10E-07,1.76E-05
135,TraesCS5A02G037100,chr5A,34262227,34264057,0.000499034,7.06E-05,1.64E-05,NA,NA,NA
136,TraesCS5A02G037200,chr5A,34382400,34385138,4.22E-08,2.68E-09,2.62E-09,NA,NA,NA
137,TraesCS5A02G037300,chr5A,34525346,34527428,0.000191497,0.001597145,0.000144776,5.15E-05,0.00013881,0.000276156
138,TraesCS5A02G037400,chr5A,34654332,34658084,1.05E-06,1.49E-06,7.99E-07,0.000149247,1.42E-05,5.42E-05
139,TraesCS5A02G037500,chr5A,34903543,34905328,0.008660866,0.002721538,0.003673814,NA,NA,NA
140,TraesCS5A02G037600,chr5A,34908826,34910945,1.43E-05,0.000203426,5.77E-06,NA,NA,NA
141,TraesCS5A02G038000,chr5A,35192931,35197719,1.12E-06,5.67E-07,2.54E-07,2.78E-06,9.62E-06,1.56E-06
142,TraesCS5A02G038100,chr5A,35258506,35262458,2.70E-07,3.08E-07,1.08E-07,1.41E-08,3.78E-08,2.26E-09
143,TraesCS5A02G038200,chr5A,35278786,35281158,8.63E-34,4.65E-34,3.02E-36,4.10E-21,3.30E-21,1.70E-21
144,TraesCS5A02G038300,chr5A,35626865,35633118,1.43E-16,2.94E-17,8.23E-17,5.75E-10,1.50E-11,2.30E-11
145,TraesCS5A02G038500,chr5A,35654952,35657519,2.16E-09,1.21E-09,2.00E-10,2.51E-08,2.06E-08,6.79E-09
146,TraesCS5A02G038800,chr5A,35804011,35805510,0.001460745,0.002276343,0.000987895,NA,NA,NA
147,TraesCS5A02G040100,chr5A,36329350,36332127,7.44E-08,7.59E-08,1.15E-07,NA,NA,NA
148,TraesCS5A02G040500,chr5A,36482280,36485021,0.00042356,0.001567229,0.002357911,NA,NA,NA
149,TraesCS5A02G040600,chr5A,36493425,36496347,2.10E-16,4.82E-17,1.16E-17,2.26E-10,2.43E-10,1.74E-11
150,TraesCS5A02G041100,chr5A,37055728,37066350,5.89E-06,0.000166977,7.92E-06,0.000376666,0.000264042,9.28E-05
151,TraesCS5A02G041400,chr5A,37400914,37402423,0.001642106,0.002488694,0.001065712,0.002066418,0.003483693,0.000612731
152,TraesCS5A02G041500,chr5A,37617437,37619959,2.82E-08,5.05E-09,1.38E-09,1.62E-09,2.03E-09,1.37E-09
153,TraesCS5A02G041600,chr5A,37623366,37627130,0.000471817,0.000441213,0.000535103,NA,NA,NA
154,TraesCS5A02G041800,chr5A,37831474,37843723,4.03E-08,9.98E-09,6.26E-09,5.52E-08,7.00E-08,1.16E-07
155,TraesCS5A02G041900,chr5A,37922741,37923630,0.005079321,7.10E-05,0.003970565,NA,NA,NA
156,TraesCS5A02G042500,chr5A,38710850,38714632,6.62E-09,6.04E-10,1.81E-09,8.84E-06,6.76E-07,7.97E-06
157,TraesCS5A02G042600,chr5A,38717790,38722184,6.57E-09,3.48E-09,2.26E-09,3.19E-07,1.49E-07,3.08E-07
158,TraesCS5A02G042700,chr5A,38724575,38731929,2.25E-07,5.43E-08,2.28E-08,2.02E-09,7.97E-10,7.00E-10
159,TraesCS5A02G043100,chr5A,38801037,38805599,6.95E-09,4.48E-09,3.50E-10,0.000162059,2.20E-07,3.16E-05
160,TraesCS5A02G043200,chr5A,39241800,39244551,1.92E-05,5.42E-05,1.97E-05,3.48E-06,5.40E-06,1.32E-05
161,TraesCS5A02G043300,chr5A,39732493,39737925,4.12E-08,2.50E-08,1.12E-08,9.97E-06,0.00015177,5.88E-06
162,TraesCS5A02G043400,chr5A,39845263,39851540,0.006010054,5.59E-06,0.00105801,NA,NA,NA
163,TraesCS5A02G043500,chr5A,39853467,39856530,0.000193453,0.000136639,4.77E-05,0.000416807,0.000838817,0.000405943
164,TraesCS5A02G043800,chr5A,40163148,40167710,1.96E-10,2.60E-10,8.65E-10,5.10E-10,4.12E-09,6.87E-10
165,TraesCS5A02G044500,chr5A,40836254,40839289,3.83E-15,4.68E-13,2.85E-17,7.85E-06,4.03E-08,1.82E-07
166,TraesCS5A02G045200,chr5A,41156584,41163436,1.57E-05,8.59E-06,5.55E-06,9.67E-07,4.17E-06,9.26E-07
167,TraesCS5A02G045300,chr5A,41301978,41308213,1.31E-29,2.70E-29,1.76E-32,2.29E-28,1.05E-23,9.65E-27
168,TraesCS5A02G045700,chr5A,41348473,41352556,1.18E-10,7.59E-11,1.83E-10,1.28E-07,7.00E-07,3.25E-07
169,TraesCS5A02G046100,chr5A,41423386,41427720,6.27E-12,1.69E-11,2.13E-12,4.77E-09,2.89E-08,1.06E-08
170,TraesCS5A02G046400,chr5A,41473544,41473945,1.83E-07,7.86E-07,4.39E-09,0.006550234,3.40E-05,0.00094059
171,TraesCS5A02G046600,chr5A,41496712,41499461,4.64E-09,1.56E-08,6.63E-10,1.31E-08,9.77E-09,6.27E-09
172,TraesCS5A02G046900,chr5A,42100464,42112076,0.001145268,0.000104659,2.72E-12,3.67E-06,1.58E-05,8.71E-14
173,TraesCS5A02G047000,chr5A,42259281,42261148,1.20E-11,6.77E-12,5.87E-12,3.16E-05,2.16E-05,1.04E-05
174,TraesCS5A02G047300,chr5A,42618945,42623201,3.89E-14,1.78E-14,2.99E-15,9.79E-10,1.98E-11,3.55E-10
175,TraesCS5A02G047900,chr5A,43532425,43542377,0.006994407,0.003026677,0.000330869,0.000202928,0.000723232,0.000141794
176,TraesCS5A02G048300,chr5A,44285182,44292876,1.02E-05,4.18E-06,4.45E-06,4.19E-06,0.00012218,4.58E-06
177,TraesCS5A02G048400,chr5A,44294657,44296992,1.22E-05,2.08E-07,4.23E-05,4.22E-07,7.88E-05,2.15E-05
178,TraesCS5A02G048500,chr5A,44598112,44605678,6.19E-09,5.23E-10,7.69E-09,NA,NA,NA
179,TraesCS5A02G048800,chr5A,44948180,44952005,8.60E-06,1.50E-05,3.20E-05,0.001059605,0.000712902,0.000907609
180,TraesCS5A02G048900,chr5A,44975983,44978705,3.38E-07,2.95E-07,1.48E-07,8.57E-05,0.000298825,0.000109367
181,TraesCS5A02G049100,chr5A,44983772,44988434,0.003408679,0.009938146,0.009098579,3.11E-08,2.02E-07,4.25E-08
182,TraesCS5A02G049200,chr5A,44993417,45000611,0.000166826,0.000221674,1.25E-05,0.000143656,0.000227027,1.48E-05
183,TraesCS5A02G049800,chr5A,45707680,45714652,1.55E-07,5.04E-07,7.92E-08,1.22E-05,6.15E-07,6.29E-06
184,TraesCS5A02G050100,chr5A,45982894,45990538,4.23E-08,9.61E-10,4.24E-09,4.44E-06,1.67E-06,1.39E-06
185,TraesCS5A02G050300,chr5A,46001263,46003189,1.63E-08,4.81E-08,7.54E-08,7.85E-06,2.49E-05,1.12E-05
186,TraesCS5A02G050600,chr5A,46228850,46229815,0.000809503,0.000314569,5.87E-05,0.006240275,0.00592996,0.001543334
187,TraesCS5A02G050900,chr5A,46275689,46275937,8.14E-06,2.16E-05,0.000166617,NA,NA,NA
188,TraesCS5A02G051400,chr5A,46571720,46588091,2.56E-07,1.06E-07,1.50E-08,5.00E-08,8.70E-08,1.44E-08
189,TraesCS5A02G051500,chr5A,46612122,46622725,4.71E-05,3.06E-05,7.39E-06,0.002244326,5.02E-05,0.001191892
190,TraesCS5A02G051800,chr5A,46714472,46717317,6.35E-11,2.45E-11,1.11E-10,1.61E-08,7.92E-08,4.02E-07
191,TraesCS5A02G051900,chr5A,47127026,47128390,1.72E-12,1.09E-12,4.56E-13,1.92E-08,6.25E-10,2.02E-09
192,TraesCS5A02G052100,chr5A,47445944,47449030,7.38E-24,7.71E-22,3.81E-22,2.59E-20,5.38E-19,3.44E-20
193,TraesCS5A02G052200,chr5A,47453530,47460120,1.75E-14,3.74E-14,1.12E-14,8.12E-12,3.77E-11,3.94E-13
194,TraesCS5A02G053100,chr5A,48170982,48175391,9.90E-87,4.90E-86,2.63E-72,7.50E-71,2.11E-66,5.99E-53
195,TraesCS5A02G053400,chr5A,48463876,48471100,9.85E-08,4.35E-08,9.79E-08,3.15E-08,2.56E-08,9.43E-08
196,TraesCS5A02G053500,chr5A,48757764,48762606,0.003399693,0.003961654,0.000931712,NA,NA,NA
197,TraesCS5A02G053600,chr5A,48881004,48883543,2.63E-07,8.13E-07,6.03E-06,4.04E-11,4.37E-09,1.88E-10
198,TraesCS5A02G053700,chr5A,48889300,48895770,1.91E-09,5.00E-09,1.40E-09,2.72E-06,1.51E-05,5.87E-07
199,TraesCS5A02G053800,chr5A,48916968,48924858,2.39E-19,1.91E-18,2.84E-21,1.31E-34,4.70E-34,2.52E-37
200,TraesCS5A02G053900,chr5A,48967613,48969319,1.12E-05,1.65E-05,8.15E-06,0.000353902,0.000159182,0.00344351
201,TraesCS5A02G054000,chr5A,49955268,49956368,0.000909566,0.002245934,0.00148308,NA,NA,NA
202,TraesCS5A02G054100,chr5A,50739301,50742149,1.27E-27,1.78E-27,1.78E-27,1.46E-10,1.13E-10,1.61E-10
203,TraesCS5A02G054200,chr5A,50743216,50746791,6.55E-09,8.59E-09,7.79E-09,8.02E-09,3.01E-09,1.97E-09
204,TraesCS5A02G054400,chr5A,51207516,51216713,1.43E-07,3.76E-08,9.89E-10,3.78E-06,3.40E-05,1.51E-06
205,TraesCS5A02G054500,chr5A,51218537,51223931,2.24E-08,3.35E-08,2.03E-08,2.31E-07,3.07E-08,1.57E-06
206,TraesCS5A02G054700,chr5A,51468313,51472474,2.08E-08,5.34E-08,2.06E-08,1.85E-07,2.08E-07,4.39E-07
207,TraesCS5A02G054800,chr5A,51547978,51560550,1.17E-08,2.61E-08,1.98E-06,5.09E-07,2.71E-07,2.71E-06
208,TraesCS5A02G056000,chr5A,52279105,52283870,5.90E-07,1.03E-07,1.94E-08,1.74E-05,1.38E-07,3.18E-07
209,TraesCS5A02G056400,chr5A,52438439,52443594,1.66E-11,2.26E-11,2.40E-11,2.32E-08,5.49E-09,3.32E-09
210,TraesCS5A02G056600,chr5A,52711222,52713216,0.003267587,0.000971714,0.000353387,NA,NA,NA
